id,version,set_num
1,1,2199492
3,1,741809
4,1,1841555
15,1,1189962
16,1,903-1
17,1,850950-1
19,1,929179
21,1,574894
22,1,30277-1
25,1,71012-11
26,1,1656377
27,1,421857
28,1,2191092
29,1,1076-3
30,1,40107-1
31,1,45761
32,1,4024-21
33,1,1627522
34,1,71017-20
35,1,5004559-1
36,1,1756-1
37,1,2568022
38,1,2733843
39,1,66512-1
40,1,1849225
42,1,850760-1
43,1,2000424-1
45,1,40109-1
49,1,10071-1
50,1,K4520-1
51,1,7904-22
52,1,1635558
54,1,870740
55,1,1757183
56,1,1047548
58,1,75060-1
60,1,1390-1
61,1,10128-1
62,1,30300-1
63,1,1855800
64,1,1652359
65,1,1468276
67,1,1708242
68,1,2265601
69,1,2850829-1
70,1,483-5
71,1,K7690-1
73,1,70812-1
74,1,1830963
76,1,10189-1
80,1,1434309
81,1,65340-1
82,1,879871
83,1,1091347
84,1,1829502
86,1,525-1
87,1,5001925-1
88,1,1663682
89,1,75094-1
91,1,2769636
92,1,1638480
94,1,2267427
95,1,7575-18
96,1,10008-1
98,1,2856226-1
99,1,521-15
100,1,71217-1
101,1,2338284
102,1,2521391
103,1,917126
104,1,K4103-1
105,1,1708972
106,1,71007-6
110,1,657-1
111,1,991451-1
112,1,1040212
113,1,411630
115,1,1558492
116,1,561508-1
118,1,931006
119,1,323-1
122,1,66177-1
123,1,41135-1
125,1,94235
126,1,970654-1
127,1,93504
128,1,801345
131,1,66358-1
132,1,1688518
136,1,2309430
137,1,30301-1
138,1,520-13
140,1,508-1
142,1,555170
143,1,1913142
145,1,41562-1
146,1,18703535-1
147,1,1141-1
148,1,76008-1
151,1,1880270
152,1,76015-1
153,1,60018-1
154,1,715512
155,1,10175-1
158,1,702-3
159,1,2133018
162,1,1367836
163,1,30314-1
164,1,238-1
165,1,2852724-1
166,1,1769602
168,1,1701-1
169,1,6299-13
170,1,8831-0
171,1,610-1
172,1,2475616
173,1,41065-1
174,1,30286-1
175,1,2455162
177,1,2272176
179,1,1413-1
180,1,2049377
182,1,2532410
183,1,435-1
185,1,7904-20
186,1,60134-1
187,1,2866791
188,1,21206-1
190,1,2824-18
191,1,4559387-1
192,1,1435770
193,1,4024-15
194,1,comcon017-1
196,1,7553-20
197,1,2911350
198,1,21017-1
199,1,70209-1
203,1,Austin-1
204,1,20205-1
206,1,1488000
207,1,40092-1
208,1,342-1
209,1,970600-1
