inventory_id,part_num,color_id,quantity
3,33291,191,1
3,6141,27,1
3,6141,29,1
4,6141,42,1
22,3024,0,1
22,3024,46,1
22,3070b,72,1
22,54200,71,1
22,6141,41,1
22,98138,71,1
28,2447,40,1
28,2569,72,1
28,298c02,15,1
28,3070b,34,1
28,3070b,36,1
28,6141,36,2
28,6141,34,1
28,6141,46,2
28,6141,1,2
30,3070b,19,1
30,33291,10,1
30,6141,71,1
30,6141,15,1
30,6141,4,1
30,93555,179,1
30,98138,179,1
32,6141,15,1
33,6141,34,1
37,2780,0,1
37,32002,72,1
38,3742,5,3
38,3742,4,2
38,3742,15,1
40,6141,71,1
45,3024,36,1
45,3070b,288,1
45,54200,288,1
45,6141,0,1
45,98138,47,1
49,6141,15,1
51,4697b,71,1
54,3742,4,1
56,30126,72,1
56,32123b,71,1
56,4274,1,1
56,6141,57,1
56,6141,15,1
56,6141,334,1
56,6141,320,1
58,2780,0,7
58,3024,320,2
58,3024,72,1
58,3024,0,1
58,3024,71,1
58,3024,1,2
58,30377,71,2
58,3070b,72,2
58,32123b,14,2
58,3713,71,1
58,4274,71,1
58,4274,1,2
58,4599b,0,1
58,54200,0,1
58,54200,288,1
58,54200,71,2
58,54200,378,1
58,54200,320,2
58,61190c,72,4
58,6141,0,1
58,6141,179,5
58,6141,46,2
58,6141,47,1
58,6141,72,2
58,63586,72,3
58,64567,0,2
58,6589,19,2
58,6628,0,1
58,96874,25,1
58,98138,41,1
58,98138,71,1
58,98138,179,1
58,98138,47,1
61,2780,0,1
61,3070bp01,14,1
61,4274,7,1
61,6141,36,1
61,6141,34,1
61,6141,46,1
65,2526,15,1
65,30132,8,1
65,30170,8,1
65,4599a,7,1
65,6141,47,2
67,6141,42,1
67,72544,9999,1
68,2780,0,1
68,8103stk01,9999,1
73,298c02,14,1
73,298c02,4,1
73,30132,72,1
73,3062b,14,1
73,3062b,4,1
73,3070bpr0007,71,1
73,32123b,14,1
73,4274,1,1
73,4599b,4,2
73,4599b,14,2
73,53451,179,1
73,6141,27,1
73,6141,179,2
73,6141,70,1
73,6141,297,2
73,6141,4,1
73,75c03,70,1
73,98138,36,1
74,3024,1,1
74,3024,15,1
74,3673,71,1
74,48729b,71,1
74,54200,73,1
74,54200,1,1
74,54200,182,1
74,6141,182,1
74,6141,71,1
74,6141,47,1
76,2780,0,1
76,3023,4,1
76,3070b,73,2
76,3070b,71,2
76,3070b,15,4
76,3070b,70,2
76,3666,15,17
76,54200,47,4
76,6141,19,4
76,6141,14,3
80,22667,5,1
80,22670,334,1
80,3673,7,1
80,3741,10,1
80,3742,13,1
80,6141,46,1
82,6141,14,1
83,2780,0,1
83,298c02,4,1
83,32123b,71,1
83,3673,71,1
83,41752,72,1
83,4274,15,1
83,6141,4,1
83,6141,47,1
86,3742,1,1
86,3742,14,1
88,3070b,34,1
88,3070b,36,1
88,4274,7,2
88,6141,0,1
88,6141,33,2
88,6141,34,2
88,6141,4,1
88,6141,36,2
88,6141,42,4
89,2780,0,5
89,3024,47,1
89,3024,71,2
89,3024,15,1
89,3024,46,1
89,3070b,72,1
89,32123b,14,2
89,3713,4,1
89,4274,71,1
89,48729b,72,1
89,54200,0,1
89,54200,15,2
89,60849,71,1
89,6141,25,1
89,6141,72,4
89,64567,71,1
89,96874,25,1
89,98138,46,2
89,98138pr0010,179,1
89,98138pr0018,84,1
91,2780,0,1
91,30377,0,1
91,54200,0,1
91,54200,15,1
91,6141,15,1
91,6141,0,1
91,6141,182,1
91,6141,36,1
91,6141,47,2
92,3742,4,4
92,6386stk01,9999,1
94,2780,0,5
